Rep	Year	RepSeason	x	y	Species	NInd
0	6	0	1	24	0	6
0	6	0	16	16	0	6
0	6	0	16	4	0	9
0	6	0	5	8	0	7
0	6	0	3	18	0	5
0	6	0	7	15	0	6
0	6	0	9	8	0	0
0	6	0	14	0	0	1
0	6	0	24	23	0	4
0	6	0	5	15	0	8
0	6	0	4	24	0	7
0	6	0	16	14	0	7
0	6	0	6	10	0	3
0	6	0	11	11	0	3
0	6	0	6	15	0	10
0	6	0	3	8	0	9
0	6	0	16	7	0	6
0	6	0	3	19	0	8
0	6	0	4	23	0	12
0	6	0	9	16	0	3
0	6	0	20	0	0	5
0	6	0	2	15	0	10
0	6	0	20	16	0	4
0	6	0	2	24	0	3
0	6	0	24	21	0	4
0	6	0	11	12	0	5
0	6	0	24	1	0	8
0	6	0	15	11	0	11
0	6	0	18	0	0	4
0	6	0	0	11	0	3
0	6	0	7	24	0	1
0	6	0	7	12	0	11
0	6	0	2	17	0	11
0	6	0	7	22	0	0
0	6	0	1	5	0	3
0	6	0	17	14	0	4
0	6	0	14	21	0	7
0	6	0	6	12	0	6
0	6	0	13	22	0	1
0	6	0	2	23	0	8
0	6	0	14	2	0	9
0	6	0	23	6	0	3
0	6	0	7	0	0	7
0	6	0	16	21	0	7
0	6	0	3	16	0	6
0	6	0	7	6	0	4
0	6	0	4	9	0	10
0	6	0	14	13	0	1
0	6	0	0	4	0	3
0	6	0	20	9	0	5
0	6	0	0	3	0	4
0	6	0	6	17	0	3
0	6	0	18	7	0	1
0	6	0	24	10	0	14
0	6	0	6	18	0	1
0	6	0	14	22	0	6
0	6	0	14	15	0	6
0	6	0	5	22	0	7
0	6	0	23	17	0	2
0	6	0	21	24	0	3
0	6	0	7	19	0	2
0	6	0	20	10	0	4
0	6	0	22	6	0	3
0	6	0	14	7	0	4
0	6	0	22	24	0	10
0	6	0	18	16	0	6
0	6	0	12	13	0	1
0	6	0	23	5	0	6
0	6	0	7	17	0	5
0	6	0	7	9	0	3
0	6	0	15	18	0	3
0	6	0	10	21	0	4
0	6	0	3	2	0	4
0	6	0	7	2	0	2
0	6	0	14	8	0	5
0	6	0	16	24	0	2
0	6	0	16	8	0	2
0	6	0	10	5	0	7
0	6	0	22	3	0	1
0	6	0	9	2	0	4
0	6	0	10	24	0	5
0	6	0	20	13	0	0
0	6	0	2	2	0	2
0	6	0	22	8	0	8
0	6	0	3	22	0	8
0	6	0	21	0	0	0
0	6	0	4	12	0	3
0	6	0	15	4	0	9
0	6	0	10	0	0	1
0	6	0	17	9	0	4
0	6	0	11	10	0	3
0	6	0	18	1	0	7
0	6	0	21	9	0	8
0	6	0	24	0	0	9
0	6	0	21	5	0	5
0	6	0	0	19	0	8
0	6	0	8	23	0	1
0	6	0	18	18	0	2
0	6	0	4	8	0	7
0	6	0	13	12	0	9
0	6	0	4	4	0	3
0	6	0	19	11	0	11
0	6	0	5	21	0	1
0	6	0	23	15	0	4
0	6	0	15	1	0	0
0	6	0	14	17	0	1
0	6	0	5	24	0	11
0	6	0	15	16	0	2
0	6	0	14	18	0	3
0	6	0	18	24	0	0
0	6	0	7	13	0	11
0	6	0	9	5	0	13
0	6	0	5	5	0	8
0	6	0	4	5	0	4
0	6	0	23	14	0	0
0	6	0	18	11	0	1
0	6	0	12	24	0	5
0	7	0	13	14	0	18
0	7	0	17	21	0	5
0	7	0	15	21	0	13
0	7	0	13	21	0	1
0	7	0	10	15	0	4
0	7	0	16	9	0	10
0	7	0	10	7	0	3
0	7	0	22	1	0	5
0	7	0	24	6	0	1
0	7	0	9	11	0	2
0	7	0	19	20	0	8
0	7	0	13	11	0	6
0	7	0	14	9	0	0
0	7	0	23	20	0	3
0	7	0	1	8	0	3
0	7	0	2	16	0	6
0	7	0	0	9	0	0
0	7	0	20	23	0	3
0	7	0	19	3	0	0
0	7	0	21	21	0	0
0	7	0	24	11	0	11
0	7	0	11	13	0	11
0	7	0	19	16	0	4
0	7	0	2	18	0	11
0	7	0	15	14	0	0
0	7	0	3	13	0	5
0	7	0	23	18	0	12
0	7	0	13	2	0	7
0	7	0	10	11	0	3
0	7	0	6	4	0	5
0	7	0	19	18	0	9
0	7	0	11	5	0	4
0	7	0	14	3	0	3
0	7	0	0	8	0	1
0	7	0	15	3	0	18
0	7	0	15	5	0	4
0	7	0	15	9	0	7
0	7	0	23	22	0	12
0	7	0	17	11	0	2
0	7	0	8	15	0	3
0	7	0	10	22	0	8
0	7	0	17	2	0	2
0	7	0	1	24	0	9
0	7	0	16	16	0	4
0	7	0	16	4	0	12
0	7	0	5	8	0	11
0	7	0	3	18	0	13
0	7	0	7	15	0	6
0	7	0	9	8	0	0
0	7	0	14	0	0	1
0	7	0	24	23	0	2
0	7	0	5	15	0	11
0	7	0	4	24	0	6
0	7	0	16	14	0	3
0	7	0	6	10	0	6
0	7	0	11	11	0	3
0	7	0	6	15	0	7
0	7	0	3	8	0	2
0	7	0	16	7	0	4
0	7	0	3	19	0	7
0	7	0	4	23	0	8
0	7	0	9	16	0	5
0	7	0	20	0	0	4
0	7	0	2	15	0	8
0	7	0	20	16	0	7
0	7	0	2	24	0	1
0	7	0	24	21	0	2
0	7	0	11	12	0	2
0	7	0	24	1	0	9
0	7	0	15	11	0	9
0	7	0	18	0	0	3
0	7	0	0	11	0	0
0	7	0	7	24	0	2
0	7	0	7	12	0	8
0	7	0	2	17	0	5
0	7	0	7	22	0	0
0	7	0	1	5	0	8
0	7	0	17	14	0	5
0	7	0	14	21	0	8
0	7	0	6	12	0	7
0	7	0	13	22	0	1
0	7	0	2	23	0	8
0	7	0	14	2	0	12
0	7	0	23	6	0	3
0	7	0	7	0	0	6
0	7	0	16	21	0	9
0	7	0	3	16	0	7
0	7	0	7	6	0	5
0	7	0	4	9	0	5
0	7	0	14	13	0	2
0	7	0	0	4	0	6
0	7	0	20	9	0	7
0	7	0	0	3	0	5
0	7	0	6	17	0	4
0	7	0	18	7	0	0
0	7	0	24	10	0	9
0	7	0	6	18	0	2
0	7	0	14	22	0	4
0	7	0	14	15	0	7
0	7	0	5	22	0	6
0	7	0	23	17	0	3
0	7	0	21	24	0	8
0	7	0	7	19	0	4
0	7	0	20	10	0	4
0	7	0	22	6	0	2
0	7	0	14	7	0	2
0	7	0	22	24	0	10
0	7	0	18	16	0	3
0	7	0	12	13	0	3
0	7	0	23	5	0	6
0	7	0	7	17	0	2
0	7	0	7	9	0	6
0	7	0	15	18	0	6
0	7	0	10	21	0	4
0	7	0	3	2	0	3
0	7	0	7	2	0	1
0	7	0	14	8	0	2
0	7	0	16	24	0	3
0	7	0	16	8	0	3
0	7	0	10	5	0	10
0	7	0	22	3	0	2
0	7	0	9	2	0	2
0	7	0	10	24	0	4
0	7	0	20	13	0	0
0	7	0	2	2	0	1
0	7	0	22	8	0	2
0	7	0	3	22	0	9
0	7	0	21	0	0	0
0	7	0	4	12	0	6
0	7	0	15	4	0	4
0	7	0	10	0	0	2
0	7	0	17	9	0	1
0	7	0	11	10	0	4
0	7	0	18	1	0	2
0	7	0	21	9	0	8
0	7	0	24	0	0	7
0	7	0	21	5	0	4
0	7	0	0	19	0	6
0	7	0	8	23	0	3
0	7	0	18	18	0	4
0	7	0	4	8	0	4
0	7	0	13	12	0	9
0	7	0	4	4	0	10
0	7	0	19	11	0	10
0	7	0	5	21	0	2
0	7	0	23	15	0	2
0	7	0	15	1	0	1
0	7	0	14	17	0	0
0	7	0	5	24	0	10
0	7	0	15	16	0	1
0	7	0	14	18	0	5
0	7	0	18	24	0	0
0	7	0	7	13	0	9
0	7	0	9	5	0	7
0	7	0	5	5	0	11
0	7	0	4	5	0	4
0	7	0	23	14	0	0
0	7	0	18	11	0	0
0	7	0	12	24	0	3
0	8	0	13	14	0	6
0	8	0	17	21	0	7
0	8	0	15	21	0	13
0	8	0	13	21	0	3
0	8	0	10	15	0	3
0	8	0	16	9	0	10
0	8	0	10	7	0	2
0	8	0	22	1	0	5
0	8	0	24	6	0	1
0	8	0	9	11	0	1
0	8	0	19	20	0	9
0	8	0	13	11	0	8
0	8	0	14	9	0	0
0	8	0	23	20	0	5
0	8	0	1	8	0	4
0	8	0	2	16	0	5
0	8	0	0	9	0	0
0	8	0	20	23	0	5
0	8	0	19	3	0	1
0	8	0	21	21	0	1
0	8	0	24	11	0	5
0	8	0	11	13	0	12
0	8	0	19	16	0	3
0	8	0	2	18	0	6
0	8	0	15	14	0	0
0	8	0	3	13	0	2
0	8	0	23	18	0	6
0	8	0	13	2	0	3
0	8	0	10	11	0	1
0	8	0	6	4	0	2
0	8	0	19	18	0	4
0	8	0	11	5	0	5
0	8	0	14	3	0	5
0	8	0	0	8	0	0
0	8	0	15	3	0	8
0	8	0	15	5	0	4
0	8	0	15	9	0	7
0	8	0	23	22	0	6
0	8	0	17	11	0	2
0	8	0	8	15	0	4
0	8	0	10	22	0	9
0	8	0	17	2	0	1
0	8	0	1	24	0	10
0	8	0	16	16	0	3
0	8	0	16	4	0	15
0	8	0	5	8	0	8
0	8	0	3	18	0	8
0	8	0	7	15	0	3
0	8	0	9	8	0	0
0	8	0	14	0	0	5
0	8	0	24	23	0	2
0	8	0	5	15	0	11
0	8	0	4	24	0	7
0	8	0	16	14	0	4
0	8	0	6	10	0	7
0	8	0	11	11	0	5
0	8	0	6	15	0	6
0	8	0	3	8	0	4
0	8	0	16	7	0	2
0	8	0	3	19	0	5
0	8	0	4	23	0	11
0	8	0	9	16	0	5
0	8	0	20	0	0	4
0	8	0	2	15	0	8
0	8	0	20	16	0	10
0	8	0	2	24	0	2
0	8	0	24	21	0	5
0	8	0	11	12	0	1
0	8	0	24	1	0	8
0	8	0	15	11	0	3
0	8	0	18	0	0	4
0	8	0	0	11	0	0
0	8	0	7	24	0	4
0	8	0	7	12	0	8
0	8	0	2	17	0	5
0	8	0	7	22	0	0
0	8	0	1	5	0	9
0	8	0	17	14	0	7
0	8	0	14	21	0	4
0	8	0	6	12	0	9
0	8	0	13	22	0	2
0	8	0	2	23	0	7
0	8	0	14	2	0	12
0	8	0	23	6	0	4
0	8	0	7	0	0	8
0	8	0	16	21	0	5
0	8	0	3	16	0	6
0	8	0	7	6	0	9
0	8	0	4	9	0	7
0	8	0	14	13	0	0
0	8	0	0	4	0	8
0	8	0	20	9	0	8
0	8	0	0	3	0	2
0	8	0	6	17	0	0
0	8	0	18	7	0	0
0	8	0	24	10	0	5
0	8	0	6	18	0	2
0	8	0	14	22	0	5
0	8	0	14	15	0	3
0	8	0	5	22	0	4
0	8	0	23	17	0	2
0	8	0	21	24	0	13
0	8	0	7	19	0	5
0	8	0	20	10	0	4
0	8	0	22	6	0	3
0	8	0	14	7	0	0
0	8	0	22	24	0	10
0	8	0	18	16	0	3
0	8	0	12	13	0	5
0	8	0	23	5	0	5
0	8	0	7	17	0	2
0	8	0	7	9	0	12
0	8	0	15	18	0	8
0	8	0	10	21	0	2
0	8	0	3	2	0	7
0	8	0	7	2	0	1
0	8	0	14	8	0	3
0	8	0	16	24	0	4
0	8	0	16	8	0	3
0	8	0	10	5	0	6
0	8	0	22	3	0	4
0	8	0	9	2	0	1
0	8	0	10	24	0	3
0	8	0	20	13	0	0
0	8	0	2	2	0	2
0	8	0	22	8	0	5
0	8	0	3	22	0	8
0	8	0	21	0	0	0
0	8	0	4	12	0	4
0	8	0	15	4	0	8
0	8	0	10	0	0	1
0	8	0	17	9	0	2
0	8	0	11	10	0	3
0	8	0	18	1	0	4
0	8	0	21	9	0	5
0	8	0	24	0	0	4
0	8	0	21	5	0	3
0	8	0	0	19	0	6
0	8	0	8	23	0	1
0	8	0	18	18	0	4
0	8	0	4	8	0	4
0	8	0	13	12	0	9
0	8	0	4	4	0	10
0	8	0	19	11	0	7
0	8	0	5	21	0	4
0	8	0	23	15	0	2
0	8	0	15	1	0	0
0	8	0	14	17	0	0
0	8	0	5	24	0	9
0	8	0	15	16	0	3
0	8	0	14	18	0	2
0	8	0	18	24	0	0
0	8	0	7	13	0	10
0	8	0	9	5	0	8
0	8	0	5	5	0	8
0	8	0	4	5	0	4
0	8	0	23	14	0	0
0	8	0	18	11	0	1
0	8	0	12	24	0	3
0	9	0	13	14	0	2
0	9	0	17	21	0	10
0	9	0	15	21	0	11
0	9	0	13	21	0	4
0	9	0	10	15	0	1
0	9	0	16	9	0	7
0	9	0	10	7	0	2
0	9	0	22	1	0	9
0	9	0	24	6	0	1
0	9	0	9	11	0	1
0	9	0	19	20	0	5
0	9	0	13	11	0	8
0	9	0	14	9	0	1
0	9	0	23	20	0	4
0	9	0	1	8	0	3
0	9	0	2	16	0	4
0	9	0	0	9	0	0
0	9	0	20	23	0	7
0	9	0	19	3	0	3
0	9	0	21	21	0	3
0	9	0	24	11	0	5
0	9	0	11	13	0	6
0	9	0	19	16	0	3
0	9	0	2	18	0	6
0	9	0	15	14	0	1
0	9	0	3	13	0	2
0	9	0	23	18	0	8
0	9	0	13	2	0	6
0	9	0	10	11	0	1
0	9	0	6	4	0	5
0	9	0	19	18	0	9
0	9	0	11	5	0	6
0	9	0	14	3	0	6
0	9	0	0	8	0	0
0	9	0	15	3	0	13
0	9	0	15	5	0	4
0	9	0	15	9	0	3
0	9	0	23	22	0	4
0	9	0	17	11	0	2
0	9	0	8	15	0	7
0	9	0	10	22	0	11
0	9	0	17	2	0	1
0	9	0	1	24	0	5
0	9	0	16	16	0	2
0	9	0	16	4	0	10
0	9	0	5	8	0	6
0	9	0	3	18	0	11
0	9	0	7	15	0	5
0	9	0	9	8	0	0
0	9	0	14	0	0	3
0	9	0	24	23	0	3
0	9	0	5	15	0	10
0	9	0	4	24	0	9
0	9	0	16	14	0	5
0	9	0	6	10	0	6
0	9	0	11	11	0	6
0	9	0	6	15	0	8
0	9	0	3	8	0	5
0	9	0	16	7	0	1
0	9	0	3	19	0	2
0	9	0	4	23	0	7
0	9	0	9	16	0	7
0	9	0	20	0	0	4
0	9	0	2	15	0	9
0	9	0	20	16	0	8
0	9	0	2	24	0	3
0	9	0	24	21	0	9
0	9	0	11	12	0	3
0	9	0	24	1	0	7
0	9	0	15	11	0	4
0	9	0	18	0	0	7
0	9	0	0	11	0	0
0	9	0	7	24	0	8
0	9	0	7	12	0	10
0	9	0	2	17	0	4
0	9	0	7	22	0	0
0	9	0	1	5	0	8
0	9	0	17	14	0	5
0	9	0	14	21	0	5
0	9	0	6	12	0	10
0	9	0	13	22	0	4
0	9	0	2	23	0	9
0	9	0	14	2	0	10
0	9	0	23	6	0	5
0	9	0	7	0	0	11
0	9	0	16	21	0	5
0	9	0	3	16	0	8
0	9	0	7	6	0	7
0	9	0	4	9	0	12
0	9	0	14	13	0	0
0	9	0	0	4	0	4
0	9	0	20	9	0	4
0	9	0	0	3	0	2
0	9	0	6	17	0	0
0	9	0	18	7	0	0
0	9	0	24	10	0	6
0	9	0	6	18	0	3
0	9	0	14	22	0	4
0	9	0	14	15	0	2
0	9	0	5	22	0	2
0	9	0	23	17	0	1
0	9	0	21	24	0	11
0	9	0	7	19	0	6
0	9	0	20	10	0	5
0	9	0	22	6	0	3
0	9	0	14	7	0	0
0	9	0	22	24	0	6
0	9	0	18	16	0	4
0	9	0	12	13	0	3
0	9	0	23	5	0	3
0	9	0	7	17	0	3
0	9	0	7	9	0	7
0	9	0	15	18	0	4
0	9	0	10	21	0	5
0	9	0	3	2	0	2
0	9	0	7	2	0	2
0	9	0	14	8	0	4
0	9	0	16	24	0	7
0	9	0	16	8	0	2
0	9	0	10	5	0	6
0	9	0	22	3	0	8
0	9	0	9	2	0	3
0	9	0	10	24	0	6
0	9	0	20	13	0	0
0	9	0	2	2	0	0
0	9	0	22	8	0	6
0	9	0	3	22	0	6
0	9	0	21	0	0	1
0	9	0	4	12	0	4
0	9	0	15	4	0	8
0	9	0	10	0	0	0
0	9	0	17	9	0	1
0	9	0	11	10	0	3
0	9	0	18	1	0	3
0	9	0	21	9	0	5
0	9	0	24	0	0	4
0	9	0	21	5	0	3
0	9	0	0	19	0	5
0	9	0	8	23	0	3
0	9	0	18	18	0	0
0	9	0	4	8	0	3
0	9	0	13	12	0	8
0	9	0	4	4	0	13
0	9	0	19	11	0	2
0	9	0	5	21	0	4
0	9	0	23	15	0	1
0	9	0	15	1	0	1
0	9	0	14	17	0	0
0	9	0	5	24	0	6
0	9	0	15	16	0	2
0	9	0	14	18	0	2
0	9	0	18	24	0	0
0	9	0	7	13	0	5
0	9	0	9	5	0	9
0	9	0	5	5	0	8
0	9	0	4	5	0	8
0	9	0	23	14	0	0
0	9	0	18	11	0	1
0	9	0	12	24	0	2
0	10	0	13	14	0	2
0	10	0	17	21	0	7
0	10	0	15	21	0	7
0	10	0	13	21	0	3
0	10	0	10	15	0	0
0	10	0	16	9	0	6
0	10	0	10	7	0	1
0	10	0	22	1	0	6
0	10	0	24	6	0	2
0	10	0	9	11	0	1
0	10	0	19	20	0	1
0	10	0	13	11	0	10
0	10	0	14	9	0	0
0	10	0	23	20	0	6
0	10	0	1	8	0	3
0	10	0	2	16	0	3
0	10	0	0	9	0	0
0	10	0	20	23	0	7
0	10	0	19	3	0	5
0	10	0	21	21	0	4
0	10	0	24	11	0	4
0	10	0	11	13	0	4
0	10	0	19	16	0	2
0	10	0	2	18	0	6
0	10	0	15	14	0	4
0	10	0	3	13	0	4
0	10	0	23	18	0	7
0	10	0	13	2	0	9
0	10	0	10	11	0	1
0	10	0	6	4	0	6
0	10	0	19	18	0	9
0	10	0	11	5	0	8
0	10	0	14	3	0	7
0	10	0	0	8	0	0
0	10	0	15	3	0	5
0	10	0	15	5	0	11
0	10	0	15	9	0	1
0	10	0	23	22	0	5
0	10	0	17	11	0	2
0	10	0	8	15	0	4
0	10	0	10	22	0	12
0	10	0	17	2	0	1
0	10	0	1	24	0	6
0	10	0	16	16	0	3
0	10	0	16	4	0	6
0	10	0	5	8	0	9
0	10	0	3	18	0	8
0	10	0	7	15	0	3
0	10	0	9	8	0	0
0	10	0	14	0	0	2
0	10	0	24	23	0	9
0	10	0	5	15	0	6
0	10	0	4	24	0	6
0	10	0	16	14	0	7
0	10	0	6	10	0	8
0	10	0	11	11	0	6
0	10	0	6	15	0	12
0	10	0	3	8	0	4
0	10	0	16	7	0	2
0	10	0	3	19	0	1
0	10	0	4	23	0	6
0	10	0	9	16	0	5
0	10	0	20	0	0	7
0	10	0	2	15	0	12
0	10	0	20	16	0	10
0	10	0	2	24	0	2
0	10	0	24	21	0	8
0	10	0	11	12	0	0
0	10	0	24	1	0	7
0	10	0	15	11	0	2
0	10	0	18	0	0	11
0	10	0	0	11	0	0
0	10	0	7	24	0	6
0	10	0	7	12	0	4
0	10	0	2	17	0	4
0	10	0	7	22	0	0
0	10	0	1	5	0	12
0	10	0	17	14	0	6
0	10	0	14	21	0	3
0	10	0	6	12	0	7
0	10	0	13	22	0	3
0	10	0	2	23	0	5
0	10	0	14	2	0	7
0	10	0	23	6	0	1
0	10	0	7	0	0	6
0	10	0	16	21	0	5
0	10	0	3	16	0	2
0	10	0	7	6	0	3
0	10	0	4	9	0	9
0	10	0	14	13	0	2
0	10	0	0	4	0	4
0	10	0	20	9	0	4
0	10	0	0	3	0	1
0	10	0	6	17	0	0
0	10	0	18	7	0	0
0	10	0	24	10	0	6
0	10	0	6	18	0	1
0	10	0	14	22	0	8
0	10	0	14	15	0	1
0	10	0	5	22	0	2
0	10	0	23	17	0	2
0	10	0	21	24	0	10
0	10	0	7	19	0	5
0	10	0	20	10	0	2
0	10	0	22	6	0	4
0	10	0	14	7	0	0
0	10	0	22	24	0	1
0	10	0	18	16	0	2
0	10	0	12	13	0	2
0	10	0	23	5	0	2
0	10	0	7	17	0	1
0	10	0	7	9	0	5
0	10	0	15	18	0	3
0	10	0	10	21	0	7
0	10	0	3	2	0	4
0	10	0	7	2	0	2
0	10	0	14	8	0	9
0	10	0	16	24	0	4
0	10	0	16	8	0	1
0	10	0	10	5	0	6
0	10	0	22	3	0	11
0	10	0	9	2	0	8
0	10	0	10	24	0	3
0	10	0	20	13	0	0
0	10	0	2	2	0	0
0	10	0	22	8	0	5
0	10	0	3	22	0	5
0	10	0	21	0	0	2
0	10	0	4	12	0	5
0	10	0	15	4	0	7
0	10	0	10	0	0	0
0	10	0	17	9	0	1
0	10	0	11	10	0	3
0	10	0	18	1	0	2
0	10	0	21	9	0	4
0	10	0	24	0	0	6
0	10	0	21	5	0	7
0	10	0	0	19	0	6
0	10	0	8	23	0	2
0	10	0	18	18	0	0
0	10	0	4	8	0	3
0	10	0	13	12	0	6
0	10	0	4	4	0	12
0	10	0	19	11	0	5
0	10	0	5	21	0	4
0	10	0	23	15	0	0
0	10	0	15	1	0	1
0	10	0	14	17	0	0
0	10	0	5	24	0	7
0	10	0	15	16	0	5
0	10	0	14	18	0	3
0	10	0	18	24	0	0
0	10	0	7	13	0	10
0	10	0	9	5	0	5
0	10	0	5	5	0	2
0	10	0	4	5	0	9
0	10	0	23	14	0	0
0	10	0	18	11	0	2
0	10	0	12	24	0	3
0	11	0	13	14	0	2
0	11	0	17	21	0	8
0	11	0	15	21	0	6
0	11	0	13	21	0	2
0	11	0	10	15	0	0
0	11	0	16	9	0	6
0	11	0	10	7	0	0
0	11	0	22	1	0	6
0	11	0	24	6	0	2
0	11	0	9	11	0	2
0	11	0	19	20	0	3
0	11	0	13	11	0	11
0	11	0	14	9	0	0
0	11	0	23	20	0	2
0	11	0	1	8	0	3
0	11	0	2	16	0	6
0	11	0	0	9	0	0
0	11	0	20	23	0	7
0	11	0	19	3	0	2
0	11	0	21	21	0	5
0	11	0	24	11	0	4
0	11	0	11	13	0	2
0	11	0	19	16	0	3
0	11	0	2	18	0	3
0	11	0	15	14	0	4
0	11	0	3	13	0	0
0	11	0	23	18	0	2
0	11	0	13	2	0	9
0	11	0	10	11	0	1
0	11	0	6	4	0	5
0	11	0	19	18	0	4
0	11	0	11	5	0	8
0	11	0	14	3	0	10
0	11	0	0	8	0	1
0	11	0	15	3	0	2
0	11	0	15	5	0	6
0	11	0	15	9	0	1
0	11	0	23	22	0	3
0	11	0	17	11	0	4
0	11	0	8	15	0	1
0	11	0	10	22	0	11
0	11	0	17	2	0	1
0	11	0	1	24	0	11
0	11	0	16	16	0	1
0	11	0	16	4	0	10
0	11	0	5	8	0	6
0	11	0	3	18	0	6
0	11	0	7	15	0	4
0	11	0	9	8	0	0
0	11	0	14	0	0	5
0	11	0	24	23	0	11
0	11	0	5	15	0	3
0	11	0	4	24	0	4
0	11	0	16	14	0	5
0	11	0	6	10	0	10
0	11	0	11	11	0	7
0	11	0	6	15	0	11
0	11	0	3	8	0	4
0	11	0	16	7	0	2
0	11	0	3	19	0	2
0	11	0	4	23	0	7
0	11	0	9	16	0	4
0	11	0	20	0	0	5
0	11	0	2	15	0	12
0	11	0	20	16	0	5
0	11	0	2	24	0	3
0	11	0	24	21	0	7
0	11	0	11	12	0	0
0	11	0	24	1	0	6
0	11	0	15	11	0	2
0	11	0	18	0	0	10
0	11	0	0	11	0	0
0	11	0	7	24	0	5
0	11	0	7	12	0	6
0	11	0	2	17	0	5
0	11	0	7	22	0	0
0	11	0	1	5	0	10
0	11	0	17	14	0	3
0	11	0	14	21	0	3
0	11	0	6	12	0	10
0	11	0	13	22	0	2
0	11	0	2	23	0	3
0	11	0	14	2	0	9
0	11	0	23	6	0	4
0	11	0	7	0	0	3
0	11	0	16	21	0	5
0	11	0	3	16	0	2
0	11	0	7	6	0	4
0	11	0	4	9	0	8
0	11	0	14	13	0	2
0	11	0	0	4	0	4
0	11	0	20	9	0	7
0	11	0	0	3	0	3
0	11	0	6	17	0	0
0	11	0	18	7	0	0
0	11	0	24	10	0	6
0	11	0	6	18	0	0
0	11	0	14	22	0	8
0	11	0	14	15	0	2
0	11	0	5	22	0	3
0	11	0	23	17	0	2
0	11	0	21	24	0	6
0	11	0	7	19	0	7
0	11	0	20	10	0	4
0	11	0	22	6	0	4
0	11	0	14	7	0	1
0	11	0	22	24	0	2
0	11	0	18	16	0	2
0	11	0	12	13	0	9
0	11	0	23	5	0	2
0	11	0	7	17	0	2
0	11	0	7	9	0	4
0	11	0	15	18	0	3
0	11	0	10	21	0	4
0	11	0	3	2	0	5
0	11	0	7	2	0	2
0	11	0	14	8	0	8
0	11	0	16	24	0	4
0	11	0	16	8	0	2
0	11	0	10	5	0	4
0	11	0	22	3	0	9
0	11	0	9	2	0	5
0	11	0	10	24	0	4
0	11	0	20	13	0	0
0	11	0	2	2	0	0
0	11	0	22	8	0	5
0	11	0	3	22	0	3
0	11	0	21	0	0	3
0	11	0	4	12	0	5
0	11	0	15	4	0	7
0	11	0	10	0	0	0
0	11	0	17	9	0	1
0	11	0	11	10	0	3
0	11	0	18	1	0	2
0	11	0	21	9	0	5
0	11	0	24	0	0	3
0	11	0	21	5	0	3
0	11	0	0	19	0	5
0	11	0	8	23	0	2
0	11	0	18	18	0	1
0	11	0	4	8	0	2
0	11	0	13	12	0	6
0	11	0	4	4	0	12
0	11	0	19	11	0	5
0	11	0	5	21	0	4
0	11	0	23	15	0	0
0	11	0	15	1	0	1
0	11	0	14	17	0	0
0	11	0	5	24	0	4
0	11	0	15	16	0	6
0	11	0	14	18	0	3
0	11	0	18	24	0	0
0	11	0	7	13	0	7
0	11	0	9	5	0	6
0	11	0	5	5	0	3
0	11	0	4	5	0	7
0	11	0	23	14	0	0
0	11	0	18	11	0	1
0	11	0	12	24	0	5
